All Defense/STs Weekly Scoring NFL Points Stats
Player,Team,Opp,Bye,1,2,3,4,5,6,7,8,Avg,Total,
Chiefs DST KC ,Montezuma's Revenge,@BUF,10,39,11,26,32,16,40,14,5,22.9,183
Seahawks DST SEA ,Rebel Dawg,TB,12,16,37,14,18,14,16,22,17,19.2,154
Panthers DST CAR ,Worcester Itch,ATL,4,9,5,43,0,14,17,21,12,17.3,121
Colts DST IND ,Screaming Seagulls,@HOU,8,6,12,20,36,15,4,18,0,15.9,111
Cowboys DST DAL ,Free Agent,MIN,11,26,9,26,8,1,19,26,7,15.2,122
Bengals DST CIN ,Chief Dawgs,@MIA,12,3,15,23,7,25,13,-1,34,14.9,119
Rams DST STL ,Wild Ones,TEN,11,12,4,4,8,20,34,11,23,14.5,116
Ravens DST BAL ,MICHAELS MAULERS,@CLE,8,5,21,31,11,14,9,10,0,14.4,101
49ers DST SF ,Screaming Seagulls,BYE,9,8,12,3,24,27,14,13,14,14.4,115
Cardinals DST ARI ,PitLords,BYE,9,8,5,9,17,36,8,11,20,14.2,114
Titans DST TEN ,PitLords,@STL,8,26,10,8,24,8,16,5,0,13.9,97
Broncos DST DEN ,Chief Dawgs,BYE,9,12,20,7,21,9,8,7,27,13.9,111
Patriots DST NE ,El Chupacabras,PIT,10,6,22,21,3,15,6,19,19,13.9,111
Saints DST NO ,The All In,@NYJ,7,10,9,24,17,7,12,0,16,13.6,95
Redskins DST WAS ,Free Agent,SD,5,18,5,7,29,0,8,11,16,13.4,94
Packers DST GB ,MICHAELS MAULERS,CHI,4,1,3,23,0,18,12,14,21,13.1,92
Browns DST CLE ,Missing Link,BAL,10,12,9,19,19,26,4,2,13,13.0,104
Vikings DST MIN ,Free Agent,@DAL,5,1,29,13,13,0,2,18,13,12.7,89
Raiders DST OAK ,Free Agent,PHI,7,10,20,3,8,18,12,0,16,12.4,87
Bears DST CHI ,Wild Ones,@GB,8,9,15,24,8,3,14,11,0,12.0,84
Bills DST BUF ,Free Agent,KC,12,18,15,1,19,12,5,16,8,11.8,94
Dolphins DST MIA ,Free Agent,CIN,6,25,7,4,3,13,0,12,10,10.6,74
Jets DST NYJ ,Free Agent,NO,10,19,8,17,5,6,9,17,3,10.5,84
Buccaneers DST TB ,Free Agent,@SEA,5,15,22,8,12,0,3,4,7,10.1,71
Texans DST HOU ,PitLords,IND,8,12,17,8,16,4,4,8,0,9.9,69
Falcons DST ATL ,Lawless Wonders,@CAR,6,5,9,16,-1,10,0,14,9,8.9,62
Giants DST NYG ,Free Agent,BYE,9,7,1,5,8,1,0,20,28,8.8,70
Chargers DST SD ,Free Agent,@WAS,8,5,1,1,9,10,12,23,0,8.7,61
Lions DST DET ,Free Agent,BYE,9,15,13,7,17,1,8,1,2,8.0,64
Steelers DST PIT ,Free Agent,@NE,5,11,-1,6,2,0,21,4,12,7.9,55
Eagles DST PHI ,Lawless Wonders,@OAK,12,17,3,10,-1,10,6,8,9,7.8,62
Jaguars DST JAC ,Free Agent,BYE,9,9,9,5,5,4,12,1,2,5.9,47
