#TYPE System.Management.Automation.PSCustomObject
"Player","Team","Opp","Bye","1","2","3","4","5","6","7","8","Avg","Total"
"Chiefs DST KC ","Montezuma's Revenge","@BUF","10","39","11","26","32","16","40","14","5","22.9","183"
"Seahawks DST SEA ","Rebel Dawg","TB","12","16","37","14","18","14","16","22","17","19.2","154"
"Titans DST TEN ","PitLords","@STL","8","26","10","8","24","8","16","5","0","13.9","97"
"Saints DST NO ","The All In","@NYJ","7","10","9","24","17","7","12","0","16","13.6","95"
"Redskins DST WAS ","Free Agent","SD","5","18","5","7","29","0","8","11","16","13.4","94"
"Packers DST GB ","MICHAELS MAULERS","CHI","4","1","3","23","0","18","12","14","21","13.1","92"
"Vikings DST MIN ","Free Agent","@DAL","5","1","29","13","13","0","2","18","13","12.7","89"
"Raiders DST OAK ","Free Agent","PHI","7","10","20","3","8","18","12","0","16","12.4","87"
"Bears DST CHI ","Wild Ones","@GB","8","9","15","24","8","3","14","11","0","12.0","84"
"Bills DST BUF ","Free Agent","KC","12","18","15","1","19","12","5","16","8","11.8","94"
"Dolphins DST MIA ","Free Agent","CIN","6","25","7","4","3","13","0","12","10","10.6","74"
"Jets DST NYJ ","Free Agent","NO","10","19","8","17","5","6","9","17","3","10.5","84"
"Buccaneers DST TB ","Free Agent","@SEA","5","15","22","8","12","0","3","4","7","10.1","71"
"Texans DST HOU ","PitLords","IND","8","12","17","8","16","4","4","8","0","9.9","69"
"Falcons DST ATL ","Lawless Wonders","@CAR","6","5","9","16","-1","10","0","14","9","8.9","62"
"Giants DST NYG ","Free Agent","BYE","9","7","1","5","8","1","0","20","28","8.8","70"
"Chargers DST SD ","Free Agent","@WAS","8","5","1","1","9","10","12","23","0","8.7","61"
"Lions DST DET ","Free Agent","BYE","9","15","13","7","17","1","8","1","2","8.0","64"
"Steelers DST PIT ","Free Agent","@NE","5","11","-1","6","2","0","21","4","12","7.9","55"
"Eagles DST PHI ","Lawless Wonders","@OAK","12","17","3","10","-1","10","6","8","9","7.8","62"
"Jaguars DST JAC ","Free Agent","BYE","9","9","9","5","5","4","12","1","2","5.9","47"
